Cavity,Gradient,JT Valve Position,Start,End,Reference Heat Load,MySampler Time Interval
4,16,24,3/27/19 16:25,3/27/19 17:05,,1
4,16,24,3/27/19 16:25,3/27/19 17:05,,5
1,16,26,3/28/19 14:30,3/28/19 15:10,,1
1,16,26,3/28/19 14:30,3/28/19 15:10,,5
2,16,26,3/28/19 15:45,3/28/19 16:25,,1
2,16,26,3/28/19 15:45,3/28/19 16:25,,5
3,16,27,3/29/19 14:45,3/29/19 15:25,,1
3,16,27,3/29/19 14:45,3/29/19 15:25,,5
5,16,27,3/29/19 15:39,3/29/19 16:19,,1
5,16,27,3/29/19 15:39,3/29/19 16:19,,5
6,16,27,3/29/19 16:34,3/29/19 17:14,,1
6,16,27,3/29/19 16:34,3/29/19 17:14,,5
7,16,27.5,4/1/19 12:08,4/1/19 12:48,,1
7,16,27.5,4/1/19 12:08,4/1/19 12:48,,5
8,16,27.5,4/1/19 16:37,4/1/19 17:17,,1
8,16,27.5,4/1/19 16:37,4/1/19 17:17,,5
